soil_moisture,rainfall,rainfall_24h,slope_angle,tilt_rate,factor_of_safety,synthetic_risk_probability,hazard_label,hazard_tier
45.81,35.57,49.64,27.76,0.0299,1.1,0.8009,1,CRITICAL
27.61,26.86,38.23,19.82,0.021,1.78,0.116,0,LOW
57.3,52.55,74.91,36.0,0.0684,0.79,0.9776,1,CRITICAL
62.81,54.81,70.0,33.26,0.1323,0.81,0.991,1,CRITICAL
62.27,39.77,53.37,33.54,0.0544,0.8,0.9748,1,CRITICAL
66.37,46.15,62.53,21.63,0.0444,1.17,0.9096,1,CRITICAL
54.43,40.69,102.45,37.82,0.139,0.77,0.9977,1,CRITICAL
67.67,36.69,66.26,18.19,0.0281,1.37,0.8712,1,CRITICAL
53.73,60.5,84.75,32.11,0.0499,0.9,0.971,1,CRITICAL
39.6,22.43,56.86,43.33,0.0449,0.78,0.9607,1,CRITICAL
14.47,17.73,28.03,21.07,0.0095,1.86,0.0325,0,LOW
75.97,45.53,67.22,24.04,0.0424,0.96,0.9653,1,CRITICAL
84.08,48.05,72.71,28.7,0.064,0.76,0.995,1,CRITICAL
39.91,32.13,47.4,24.48,0.0323,1.31,0.7004,1,HIGH
37.69,29.18,38.65,17.15,-0.0402,1.89,0.0851,0,LOW
15.66,23.75,36.57,28.48,-0.0069,1.37,0.1763,0,MODERATE
39.68,17.28,53.18,20.56,0.0261,1.56,0.4393,0,MODERATE
48.39,31.66,44.32,31.32,0.0277,0.96,0.9446,1,CRITICAL
26.64,26.55,39.5,21.56,0.0241,1.65,0.2285,0,LOW
26.85,4.53,31.72,38.85,0.023,0.94,0.6763,1,CRITICAL
47.99,40.34,44.25,22.52,0.0551,1.33,0.7784,1,CRITICAL
43.3,30.92,42.63,25.75,0.0164,1.21,0.4778,0,MODERATE
28.46,20.17,56.63,33.69,-0.0276,1.06,0.628,1,HIGH
75.13,31.9,66.79,19.38,0.0356,1.2,0.9552,1,CRITICAL
10.18,2.29,13.22,29.59,0.0129,1.37,0.1158,0,MODERATE
73.6,33.58,65.39,37.15,0.0884,0.67,0.9964,1,CRITICAL
29.06,19.05,26.87,16.75,0.0407,2.08,0.0488,0,LOW
45.3,19.06,48.04,29.29,0.0289,1.05,0.8238,1,CRITICAL
53.54,38.42,45.22,29.82,0.0491,0.97,0.9264,1,CRITICAL
46.45,48.06,62.67,33.47,0.0374,0.92,0.8915,1,CRITICAL
43.74,29.49,38.83,19.34,0.011,1.6,0.266,0,MODERATE
40.62,28.14,46.17,18.76,0.0407,1.69,0.237,0,LOW
45.67,32.5,38.54,31.65,0.0205,0.98,0.7797,1,CRITICAL
63.5,62.26,108.36,30.08,0.0692,0.88,0.9946,1,CRITICAL
62.54,28.23,59.12,29.75,0.0432,0.89,0.9636,1,CRITICAL
24.13,39.03,45.21,30.43,0.0182,1.2,0.509,1,HIGH
75.05,52.37,82.0,23.24,-0.0489,1.0,0.9835,1,CRITICAL
23.09,15.5,37.23,29.63,0.0337,1.24,0.408,0,MODERATE
68.96,44.73,81.52,30.05,0.0641,0.84,0.9857,1,CRITICAL
58.35,21.6,48.27,23.0,-0.0317,1.18,0.8307,1,CRITICAL
22.49,41.23,35.01,41.06,0.0154,0.92,0.6358,1,CRITICAL
68.98,35.93,59.82,31.32,0.0538,0.81,0.9867,1,CRITICAL
58.49,43.53,69.91,19.66,0.0486,1.38,0.8559,1,CRITICAL
54.11,61.48,90.44,32.6,-0.0887,0.88,0.9901,1,CRITICAL
33.77,24.92,61.78,21.18,0.0676,1.59,0.3867,0,MODERATE
51.31,36.69,42.88,33.51,0.0329,0.88,0.9363,1,CRITICAL
28.99,11.99,30.12,36.11,0.0796,0.99,0.7646,1,CRITICAL
47.12,44.99,44.49,22.26,0.0208,1.35,0.671,1,HIGH
23.16,9.16,20.48,34.74,0.0056,1.07,0.4329,0,HIGH
78.78,49.12,64.57,30.89,0.0743,0.74,0.9899,1,CRITICAL
47.5,2.21,45.29,33.75,0.0272,0.91,0.9097,1,CRITICAL
40.7,51.32,105.12,41.28,0.0597,0.8,0.9848,1,CRITICAL
57.99,32.47,59.01,26.28,0.0686,1.05,0.9694,1,CRITICAL
80.57,27.12,79.04,22.72,0.0718,0.97,0.9887,1,CRITICAL
32.41,27.3,35.48,21.77,0.01,1.56,0.2101,0,LOW
58.18,40.83,62.83,22.29,0.0497,1.22,0.9178,1,CRITICAL
51.33,42.98,88.14,27.46,0.0693,1.06,0.9706,1,CRITICAL
46.3,30.06,50.36,30.39,0.059,1.01,0.92,1,CRITICAL
11.91,14.39,10.53,29.94,0.013,1.34,0.1088,0,MODERATE
59.03,13.42,57.41,33.79,0.0564,0.82,0.9815,1,CRITICAL
65.28,62.94,126.12,28.09,0.0986,0.92,0.9974,1,CRITICAL
72.49,35.86,65.34,38.17,0.0778,0.66,0.9948,1,CRITICAL
63.62,38.88,64.41,26.15,-0.0513,1.0,0.9512,1,CRITICAL
40.31,19.78,33.94,47.04,0.0333,0.73,0.8807,1,CRITICAL
28.72,24.05,25.26,32.38,0.0176,1.09,0.6252,1,HIGH
12.66,29.54,41.28,22.0,0.0871,1.81,0.2045,0,LOW
63.58,40.7,56.22,20.5,0.0306,1.26,0.8592,1,CRITICAL
50.45,13.6,45.83,31.38,0.0256,0.95,0.8762,1,CRITICAL
47.19,28.51,45.1,26.44,0.0405,1.14,0.6993,1,HIGH
30.76,42.25,75.54,33.0,0.0292,1.06,0.7935,1,CRITICAL
17.45,23.79,15.28,31.31,-0.0142,1.23,0.1643,0,MODERATE
84.55,57.7,93.26,27.49,0.0738,0.78,0.9974,1,CRITICAL
75.46,33.29,66.63,22.07,0.0515,1.05,0.9831,1,CRITICAL
78.13,63.07,90.91,17.4,0.0844,1.29,0.9738,1,CRITICAL
79.61,87.03,135.66,24.87,0.1088,0.9,0.9988,1,CRITICAL
50.09,19.69,46.5,33.99,0.03,0.88,0.9368,1,CRITICAL
37.69,15.85,32.23,29.5,0.0651,1.11,0.8033,1,CRITICAL
39.63,17.11,34.04,19.28,0.0142,1.66,0.1752,0,LOW
33.59,41.19,48.2,29.21,0.0244,1.16,0.6365,1,HIGH
35.3,20.39,30.59,30.7,0.0214,1.09,0.6967,1,HIGH
56.12,36.92,49.42,21.81,0.0904,1.27,0.9209,1,CRITICAL
26.26,9.73,24.43,29.08,0.0073,1.24,0.3102,0,MODERATE
50.8,31.69,47.23,28.41,0.0406,1.03,0.9211,1,CRITICAL
21.57,24.08,18.42,20.0,-0.0094,1.85,0.0457,0,LOW
47.18,36.52,66.89,30.5,0.0333,1.0,0.8598,1,CRITICAL
49.36,42.55,69.0,31.93,-0.0773,0.94,0.9727,1,CRITICAL
76.56,27.91,69.23,35.58,-0.0762,0.67,0.9971,1,CRITICAL
24.66,12.7,33.93,35.38,0.0309,1.04,0.497,0,HIGH
33.49,21.98,42.2,18.36,0.0128,1.83,0.0521,0,LOW
36.22,19.23,49.73,21.44,0.0344,1.54,0.3067,0,MODERATE
62.93,50.04,61.37,31.61,0.0671,0.84,0.9812,1,CRITICAL
25.95,10.5,31.47,31.6,0.0171,1.14,0.5485,1,HIGH
37.67,34.93,45.1,31.61,0.0306,1.04,0.7109,1,HIGH
67.83,45.36,72.48,54.97,0.1436,0.56,0.999,1,CRITICAL
61.66,33.74,55.71,32.0,0.0648,0.84,0.9413,1,CRITICAL
28.46,32.13,28.78,35.95,0.0186,1.0,0.6188,1,HIGH
40.48,0.0,37.1,34.68,-0.0337,0.94,0.81,1,CRITICAL
54.0,31.12,55.14,32.56,0.0553,0.89,0.9787,1,CRITICAL
78.22,30.76,69.28,25.79,-0.047,0.88,0.9752,1,CRITICAL
71.32,21.61,68.71,33.31,0.0677,0.75,0.9921,1,CRITICAL
60.16,21.62,55.94,22.59,0.0879,1.19,0.9037,1,CRITICAL
33.9,32.75,54.3,26.34,0.0603,1.28,0.6684,1,HIGH
30.58,8.11,25.6,24.6,0.0332,1.41,0.2112,0,MODERATE
25.24,28.72,32.93,28.57,-0.0096,1.27,0.5141,1,HIGH
21.96,16.12,30.43,44.2,0.0867,0.87,0.8431,1,CRITICAL
38.39,19.54,37.97,14.93,0.0214,2.16,0.0454,0,LOW
32.08,17.11,33.86,32.8,0.0157,1.05,0.6077,1,HIGH
29.45,27.64,47.71,16.71,0.0247,2.08,0.0373,0,LOW
23.23,9.93,23.53,24.7,-0.0336,1.49,0.2698,0,MODERATE
30.21,24.45,54.94,35.62,0.0215,0.99,0.7858,1,CRITICAL
94.09,75.46,109.27,28.45,0.1347,0.69,0.9998,1,CRITICAL
62.13,33.05,65.48,20.46,0.0657,1.28,0.8851,1,CRITICAL
18.73,18.49,37.21,22.99,0.0055,1.65,0.1229,0,LOW
67.45,45.21,68.2,32.76,0.0848,0.78,0.9945,1,CRITICAL
33.15,25.81,37.7,22.89,0.0535,1.48,0.4132,0,MODERATE
20.99,31.76,67.82,29.52,0.0146,1.27,0.5287,1,HIGH
11.73,16.17,14.36,28.32,0.0068,1.42,0.1013,0,MODERATE
72.92,41.89,60.85,23.44,0.0417,1.02,0.9426,1,CRITICAL
67.03,37.01,58.71,43.01,0.0629,0.63,0.9912,1,CRITICAL
38.54,22.77,45.13,32.44,0.0402,1.01,0.7949,1,CRITICAL
72.53,32.59,61.09,13.82,0.0271,1.71,0.6688,1,HIGH
15.16,26.81,48.05,29.31,0.0542,1.34,0.4933,0,MODERATE
49.34,16.13,47.41,23.37,0.0977,1.26,0.8332,1,CRITICAL
46.32,38.91,65.51,33.97,0.0401,0.91,0.9205,1,CRITICAL
46.21,33.68,41.27,22.45,0.0249,1.35,0.5129,1,HIGH
33.31,28.13,32.28,27.2,0.022,1.25,0.4053,0,MODERATE
79.35,34.83,64.4,31.53,0.0667,0.73,0.9924,1,CRITICAL
29.09,27.29,27.74,34.06,0.0162,1.04,0.5674,1,HIGH
80.78,63.9,74.73,19.6,0.0422,1.12,0.9784,1,CRITICAL
74.89,59.08,103.73,25.66,0.0673,0.92,0.9943,1,CRITICAL
45.4,33.14,43.71,24.68,0.018,1.24,0.6632,1,HIGH
14.95,0.0,27.27,23.43,0.0379,1.67,0.1187,0,LOW
34.08,8.8,35.64,40.36,-0.0213,0.86,0.8978,1,CRITICAL
31.71,16.56,26.09,30.83,-0.0097,1.12,0.4972,0,HIGH
37.32,14.15,40.36,19.17,0.0243,1.7,0.2776,0,MODERATE
49.27,44.65,40.44,34.43,0.024,0.88,0.919,1,CRITICAL
24.98,37.33,52.26,42.86,0.0197,0.88,0.854,1,CRITICAL
22.23,32.92,38.76,35.23,0.0247,1.06,0.6036,1,HIGH
39.38,22.9,38.65,17.36,0.0222,1.84,0.1116,0,LOW
35.01,15.97,43.34,24.61,0.0131,1.36,0.435,0,MODERATE
52.23,20.95,43.56,36.87,0.0372,0.81,0.9451,1,CRITICAL
10.11,18.31,26.28,23.05,0.0106,1.76,0.049,0,LOW
36.49,26.71,55.15,31.11,0.0327,1.07,0.7258,1,HIGH
59.3,50.7,73.31,33.42,0.0685,0.83,0.9896,1,CRITICAL
26.53,22.86,26.24,21.51,0.01,1.66,0.1022,0,LOW
62.65,32.88,54.71,27.58,-0.04,0.96,0.9628,1,CRITICAL
59.44,16.91,58.61,12.0,0.0375,2.23,0.1838,0,LOW
61.71,77.68,100.89,20.83,0.0816,1.27,0.9698,1,CRITICAL
69.74,54.14,93.78,26.23,0.0905,0.94,0.9936,1,CRITICAL
58.16,59.02,53.21,19.27,-0.0296,1.41,0.77,1,CRITICAL
44.39,41.45,58.21,39.43,0.045,0.81,0.9707,1,CRITICAL
28.94,34.67,61.29,17.99,0.0219,1.94,0.0529,0,LOW
10.27,12.13,12.75,24.92,0.0315,1.63,0.0767,0,LOW
72.97,30.8,84.99,28.92,0.0873,0.83,0.995,1,CRITICAL
45.67,34.99,41.21,38.09,-0.0295,0.83,0.8958,1,CRITICAL
66.62,61.43,59.6,17.95,0.0264,1.4,0.6515,1,HIGH
40.4,0.49,35.64,36.14,0.0245,0.9,0.851,1,CRITICAL
68.83,36.53,65.67,28.07,0.0474,0.89,0.9776,1,CRITICAL
40.28,34.96,60.03,21.13,0.0622,1.51,0.556,1,HIGH
41.51,35.43,44.47,31.23,0.0239,1.02,0.7923,1,CRITICAL
38.94,40.93,33.13,29.39,0.0156,1.11,0.6069,1,HIGH
44.89,27.99,40.27,23.8,0.0488,1.29,0.5694,1,HIGH
30.05,43.29,36.45,28.49,0.0118,1.22,0.4445,0,MODERATE
37.49,27.57,43.12,25.3,0.0182,1.29,0.5686,1,HIGH
46.73,34.69,50.29,28.79,0.0312,1.06,0.8123,1,CRITICAL
58.73,32.19,48.18,32.63,0.0443,0.85,0.9614,1,CRITICAL
82.8,64.56,87.26,39.1,0.1001,0.59,0.999,1,CRITICAL
30.83,32.19,60.69,19.34,0.0223,1.78,0.2364,0,LOW
23.35,25.82,29.4,42.93,0.0131,0.88,0.6203,1,CRITICAL
14.83,6.23,30.89,14.34,-0.015,2.73,0.0025,0,LOW
33.98,35.55,63.99,26.94,0.0274,1.25,0.6221,1,HIGH
40.86,22.51,48.13,32.12,0.0494,1.0,0.9289,1,CRITICAL
51.28,35.59,57.85,29.97,0.0377,0.98,0.9042,1,CRITICAL
57.83,36.1,65.44,23.64,0.0386,1.16,0.8788,1,CRITICAL
38.12,32.34,35.03,26.54,-0.0253,1.23,0.562,1,HIGH
56.04,25.98,57.94,24.55,-0.0285,1.14,0.8372,1,CRITICAL
55.94,26.15,72.45,23.87,0.0348,1.17,0.8491,1,CRITICAL
31.86,4.88,30.76,33.95,0.0345,1.02,0.7454,1,HIGH
31.46,45.51,59.28,30.5,0.0237,1.13,0.4233,0,HIGH
13.54,5.52,25.36,23.15,-0.02,1.71,0.0462,0,LOW
56.44,36.02,53.41,34.3,0.036,0.83,0.929,1,CRITICAL
46.86,28.33,52.12,30.15,0.0504,1.01,0.9053,1,CRITICAL
53.93,38.75,50.85,33.69,0.0974,0.86,0.9562,1,CRITICAL
37.73,32.19,57.49,32.41,0.0305,1.02,0.8463,1,CRITICAL
48.94,57.06,49.02,22.2,-0.0283,1.33,0.7244,1,HIGH
50.13,63.87,74.82,24.08,0.0389,1.22,0.7812,1,CRITICAL
45.21,24.97,46.86,33.23,0.0572,0.94,0.9217,1,CRITICAL
43.06,25.87,50.65,32.27,0.0236,0.98,0.8613,1,CRITICAL
65.92,100.0,144.15,27.85,0.1041,0.92,0.9983,1,CRITICAL
55.75,17.4,46.99,28.82,-0.041,0.98,0.8742,1,CRITICAL
28.9,25.33,43.14,36.94,0.0226,0.97,0.5796,1,CRITICAL
23.88,13.03,21.34,23.86,0.0078,1.53,0.191,0,LOW
33.76,32.61,54.39,31.83,0.0236,1.07,0.6668,1,HIGH
31.46,5.88,38.78,26.58,0.035,1.29,0.4577,0,MODERATE
45.81,52.01,78.4,26.48,0.0327,1.15,0.8885,1,CRITICAL
13.49,14.86,40.93,35.69,0.019,1.12,0.3001,0,HIGH
34.06,31.41,28.42,33.78,0.0164,1.01,0.6224,1,HIGH
44.28,8.02,37.64,33.69,0.0233,0.93,0.8742,1,CRITICAL
46.59,31.23,51.06,37.14,0.04,0.84,0.8901,1,CRITICAL
57.09,11.81,56.63,28.15,0.0646,0.99,0.9476,1,CRITICAL
22.68,0.0,20.92,32.77,0.0196,1.13,0.3062,0,HIGH
42.79,13.39,36.31,25.83,0.0367,1.21,0.6265,1,HIGH
24.66,12.33,32.18,30.27,0.0218,1.2,0.521,1,HIGH
56.95,42.44,46.31,27.09,-0.0418,1.03,0.9439,1,CRITICAL
29.32,32.29,54.5,28.68,-0.0238,1.22,0.5872,1,HIGH
40.49,47.17,57.08,32.17,0.0638,1.0,0.9221,1,CRITICAL
38.54,28.55,53.92,22.27,-0.0259,1.45,0.5188,1,HIGH
60.37,35.18,48.54,42.65,0.0537,0.67,0.9773,1,CRITICAL
25.74,5.54,21.32,20.96,0.015,1.71,0.0906,0,LOW
18.93,8.34,27.12,19.5,0.009,1.94,0.0189,0,LOW
42.68,48.98,111.99,36.11,0.0615,0.89,0.9683,1,CRITICAL
34.18,23.53,33.63,33.54,-0.014,1.01,0.6509,1,HIGH
51.55,31.16,47.57,32.37,0.0455,0.91,0.9025,1,CRITICAL
83.12,48.97,68.66,32.4,0.0667,0.69,0.994,1,CRITICAL
49.18,35.85,56.17,27.91,0.0331,1.07,0.8357,1,CRITICAL
49.57,53.42,55.26,21.72,0.0577,1.35,0.8491,1,CRITICAL
14.73,9.79,13.39,28.53,0.0144,1.38,0.2068,0,MODERATE
77.21,52.65,71.22,23.26,0.0442,0.98,0.9805,1,CRITICAL
36.53,24.19,45.73,34.83,0.0435,0.96,0.8678,1,CRITICAL
56.95,24.38,55.77,26.97,0.033,1.03,0.8965,1,CRITICAL
24.38,28.98,36.33,22.22,0.0186,1.63,0.0725,0,LOW
17.89,22.94,39.73,25.75,0.0168,1.49,0.1291,0,LOW
39.44,37.67,48.92,30.89,0.0239,1.05,0.7509,1,CRITICAL
31.43,27.23,39.51,24.05,0.0118,1.43,0.306,0,MODERATE
32.42,24.92,54.75,22.24,0.0167,1.53,0.3021,0,MODERATE
44.04,52.66,69.86,29.71,0.032,1.05,0.8645,1,CRITICAL
73.28,30.89,66.01,29.71,0.0527,0.81,0.9852,1,CRITICAL
36.16,25.32,31.78,24.45,-0.0981,1.35,0.7521,1,CRITICAL
70.57,62.02,82.0,24.7,0.0554,0.99,0.9711,1,CRITICAL
82.27,37.81,69.43,29.62,0.0863,0.75,0.9974,1,CRITICAL
32.66,51.04,65.8,17.86,0.0247,1.9,0.1252,0,LOW
34.8,20.89,28.18,18.15,-0.0224,1.83,0.1947,0,LOW
36.5,48.92,67.33,22.97,0.0214,1.43,0.4846,0,MODERATE
43.65,20.59,48.27,26.51,0.0234,1.17,0.6882,1,HIGH
62.01,45.32,71.96,30.18,0.0556,0.89,0.9728,1,CRITICAL
36.87,8.19,37.12,38.33,0.0494,0.88,0.852,1,CRITICAL
60.9,89.48,120.62,34.0,0.0839,0.8,0.9965,1,CRITICAL
65.09,13.43,55.94,26.88,0.0432,0.96,0.9583,1,CRITICAL
36.68,16.82,33.95,27.87,-0.0124,1.19,0.6128,1,HIGH
65.11,22.41,52.88,20.98,0.0332,1.22,0.8976,1,CRITICAL
36.16,49.5,71.25,27.87,0.0388,1.19,0.7796,1,CRITICAL
77.87,62.09,71.43,25.98,0.0686,0.88,0.9924,1,CRITICAL
61.97,46.4,66.43,30.26,0.0438,0.88,0.9804,1,CRITICAL
83.43,80.12,84.19,22.21,0.0547,0.97,0.9926,1,CRITICAL
63.33,35.3,81.8,31.64,0.0641,0.84,0.9883,1,CRITICAL
26.62,9.61,37.7,38.73,0.1064,0.94,0.9169,1,CRITICAL
89.41,41.42,83.91,27.24,0.0747,0.75,0.9965,1,CRITICAL
63.18,42.69,69.13,30.81,0.0532,0.86,0.9913,1,CRITICAL
